,0
546,39.19
547,13.155
548,9.45
549,6.1675
550,7.215
551,12.5775
552,13.8875
553,6.635
554,5.4475
555,5.99
556,21.3675
557,22.6625
558,16.13
559,8.885
560,4.8775
561,1.8625
562,0.0825
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0375
604,0.8975
605,2.8725
606,5.3125
607,10.0075
608,17.125
609,25.6575
610,33.735
611,41.185
612,48.2025
613,55.1075
614,61.08
615,66.9225
616,72.9475
617,77.905
618,83.65
619,93.3575
620,97.585
621,100.9825
622,103.9925
623,108.1575
624,111.2775
625,111.645
626,109.635
627,96.22
628,89.8425
629,109.69
630,85.3475
631,116.52
632,114.3375
633,116.485
634,114.495
635,113.1625
636,110.1725
637,109.205
638,107.715
639,104.7875
640,102.3125
641,95.95
642,91.1025
643,90.13
644,87.91
645,80.8325
646,71.7825
647,57.4175
648,52.5925
649,49.1125
650,41.725
651,32.1675
652,25.84
653,20.92
654,15.6375
655,10.1125
656,4.935
657,1.115
658,0.0125
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.075
700,0.8025
701,2.9625
702,4.79
703,7.5975
704,14.145
705,19.6325
706,27.9575
707,37.89
708,41.3275
709,44.91
710,54.9625
711,62.995
712,72.3325
713,78.14
714,81.375
715,88.5275
716,91.87
717,95.2025
718,100.12
719,102.7425
720,105.5825
721,106.7925
722,109.315
723,109.5075
724,110.085
725,111.5175
726,111.0825
727,111.795
728,109.25
729,107.185
730,108.4175
731,108.29
732,106.7875
733,104.925
734,100.3225
735,99.145
736,96.1775
737,91.4925
738,85.44
739,88.4275
740,80.745
741,76.0
742,70.5775
743,61.88
744,53.385
745,46.5775
746,38.2125
747,30.925
748,25.6475
749,18.82
750,12.6175
751,7.5325
752,3.7525
753,1.18
754,0.1075
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.2275
796,1.41
797,3.4925
798,6.375
799,8.495
800,10.8525
801,12.4875
802,15.3
803,18.2575
804,21.03
805,26.295
806,30.75
807,32.6025
808,38.0975
809,44.0325
810,58.31
811,67.22
812,69.8725
